# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'task-clock:ppp'
# Event count (approx.): 2626500000
#
# Overhead  Command          Shared Object             Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
# ........  ...............  ........................  ....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.02%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac764809
     0.02%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac764829
     0.02%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffaca1f88a
     0.02%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffaca2a470
     0.02%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffad462756
     0.01%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] CacheAnalyzer::createMatrix(int, int)
     0.01%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] IOAnalyzer::inefficientFileRead(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
     0.01%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] IOAnalyzer::inefficientFileWrite(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<int, std::allocator<int> > const&)
     0.01%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
     0.01%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] int&& std::forward<int>(std::remove_reference<int>::type&)
     0.01%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
     0.01%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] std::chrono::duration<long, std::ratio<1l, 1000000l> >::duration<long, void>(long const&)
     0.01%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] std::istreambuf_iterator<char, std::char_traits<char> >::operator++()
