Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
granularity: each sample hit covers 4 byte(s) for 20.00% of 0.05 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     80.0    0.00    0.04                 main [1]
                0.01    0.01       3/3           IOPerformanceAnalyzer::writeDataUnbuffered(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<int, std::allocator<int> > const&) [2]
                0.00    0.01       3/3           IOPerformanceAnalyzer::generateTestData(unsigned long) [9]
                0.01    0.00       3/3           IOPerformanceAnalyzer::readDataUnbuffered(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [10]
                0.00    0.01       3/3           IOPerformanceAnalyzer::writeDataBuffered(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<int, std::allocator<int> > const&) [12]
                0.00    0.00       9/9           std::__cxx11::to_string(unsigned long) [81]
                0.00    0.00       9/9           std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&) [85]
                0.00    0.00       9/1110009     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, char const*) [32]
                0.00    0.00       9/9           IOPerformanceAnalyzer::getFileSize(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [75]
                0.00    0.00       9/15          std::vector<int, std::allocator<int> >::~vector() [71]
                0.00    0.00       6/447         std::vector<int, std::allocator<int> >::size() const [48]
                0.00    0.00       4/4           bool __gnu_cxx::operator!=<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > >(__gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > > const&, __gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > > const&) [93]
                0.00    0.00       3/3           __gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > >::operator*() const [97]
                0.00    0.00       3/3           IOPerformanceAnalyzer::writeDataBulk(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<int, std::allocator<int> > const&) [94]
                0.00    0.00       3/3           IOPerformanceAnalyzer::readDataBuffered(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [95]
                0.00    0.00       3/3           __gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > >::operator++() [96]
                0.00    0.00       1/1           std::vector<unsigned long, std::allocator<unsigned long> >::vector(std::initializer_list<unsigned long>, std::allocator<unsigned long> const&) [132]
                0.00    0.00       1/3           std::__new_allocator<unsigned long>::~__new_allocator() [102]
                0.00    0.00       1/1           std::vector<unsigned long, std::allocator<unsigned long> >::begin() const [116]
                0.00    0.00       1/1           std::vector<unsigned long, std::allocator<unsigned long> >::end() const [115]
                0.00    0.00       1/1           std::vector<unsigned long, std::allocator<unsigned long> >::~vector() [133]
-----------------------------------------------
                0.01    0.01       3/3           main [1]
[2]     30.0    0.01    0.01       3         IOPerformanceAnalyzer::writeDataUnbuffered(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<int, std::allocator<int> > const&) [2]
                0.01    0.00 1110000/2220000     __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator++() [3]
                0.00    0.00 1110003/2220006     bool __gnu_cxx::operator!=<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&) [24]
                0.00    0.00 1110000/2220000     __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator*() const [25]
                0.00    0.00       3/6           std::vector<int, std::allocator<int> >::begin() const [88]
                0.00    0.00       3/6           std::vector<int, std::allocator<int> >::end() const [87]
-----------------------------------------------
                0.01    0.00 1110000/2220000     IOPerformanceAnalyzer::writeDataUnbuffered(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<int, std::allocator<int> > const&) [2]
                0.01    0.00 1110000/2220000     IOPerformanceAnalyzer::writeDataBuffered(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<int, std::allocator<int> > const&) [12]
[3]     20.0    0.01    0.00 2220000         __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator++() [3]
-----------------------------------------------
                0.00    0.01 1110243/1110243     unsigned int std::uniform_int_distribution<int>::_S_nd<unsigned long, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, unsigned int>(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, unsigned int) [5]
[4]     20.0    0.00    0.01 1110243         std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()() [4]
                0.01    0.00    1781/1781        std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand() [8]
-----------------------------------------------
                0.00    0.01 1110000/1110000     int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_int_distribution<int>::param_type const&) [7]
