Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.50     0.00      896     0.00     0.00  int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&)
  0.00      0.50     0.00      896     0.00     0.00  int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.50     0.00      896     0.00     0.00  std::vector<int, std::allocator<int> > const& std::forward<std::vector<int, std::allocator<int> > const&>(std::remove_reference<std::vector<int, std::allocator<int> > const&>::type&)
  0.00      0.50     0.00      896     0.00     0.00  void std::_Destroy<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*)
  0.00      0.50     0.00      606     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::__normal_iterator(std::vector<int, std::allocator<int> > const* const&)
  0.00      0.50     0.00      606     0.00     0.00  __gnu_cxx::__normal_iterator<CachePerformanceAnalyzer::Particle*, std::vector<CachePerformanceAnalyzer::Particle, std::allocator<CachePerformanceAnalyzer::Particle> > >::__normal_iterator(CachePerformanceAnalyzer::Particle* const&)
  0.00      0.50     0.00      303     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::end() const
  0.00      0.50     0.00      303     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::begin() const
  0.00      0.50     0.00      303     0.00     0.00  std::vector<CachePerformanceAnalyzer::Particle, std::allocator<CachePerformanceAnalyzer::Particle> >::end()
  0.00      0.50     0.00      303     0.00     0.00  std::vector<CachePerformanceAnalyzer::Particle, std::allocator<CachePerformanceAnalyzer::Particle> >::begin()
  0.00      0.50     0.00      116     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.50     0.00       84     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const
  0.00      0.50     0.00       84     0.00     0.00  std::vector<double, std::allocator<double> >::max_size() const
  0.00      0.50     0.00       84     0.00     0.00  std::vector<double, std::allocator<double> >::_S_max_size(std::allocator<double> const&)
  0.00      0.50     0.00       63     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      0.50     0.00       63     0.00     0.00  double* std::__niter_base<double*>(double*)
  0.00      0.50     0.00       42     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00      0.50     0.00       30     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00      0.50     0.00       21     0.00     0.00  std::vector<CachePerformanceAnalyzer::Particle, std::allocator<CachePerformanceAnalyzer::Particle> >::size() const
  0.00      0.50     0.00       21     0.00     0.00  std::vector<double, std::allocator<double> >::_M_check_len(unsigned long, char const*) const
  0.00      0.50     0.00       21     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  0.00      0.50     0.00       21     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00      0.50     0.00       21     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl()
  0.00      0.50     0.00       21     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00      0.50     0.00       21     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.50     0.00       21     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base()
  0.00      0.50     0.00       21     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00      0.50     0.00       21     0.00     0.00  std::__new_allocator<double>::deallocate(double*, unsigned long)
  0.00      0.50     0.00       21     0.00     0.00  std::__new_allocator<double>::allocate(unsigned long, void const*)
  0.00      0.50     0.00       21     0.00     0.00  std::__new_allocator<double>::~__new_allocator()
  0.00      0.50     0.00       21     0.00     0.48  double* std::__uninitialized_default_n_1<true>::__uninit_default_n<double*, unsigned long>(double*, unsigned long)
  0.00      0.50     0.00       21     0.00     0.00  std::vector<double, std::allocator<double> >::_S_relocate(double*, double*, double*, std::allocator<double>&)
  0.00      0.50     0.00       21     0.00     0.48  std::vector<double, std::allocator<double> >::_M_default_append(unsigned long)
  0.00      0.50     0.00       21     0.00     0.48  std::vector<double, std::allocator<double> >::resize(unsigned long)
  0.00      0.50     0.00       21     0.00     0.00  std::vector<double, std::allocator<double> >::vector()
  0.00      0.50     0.00       21     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
  0.00      0.50     0.00       21     0.00     0.00  void std::_Construct<double>(double*)
  0.00      0.50     0.00       21     0.00     0.48  double* std::__fill_n_a<double*, unsigned long, double>(double*, unsigned long, double const&, std::random_access_iterator_tag)
  0.00      0.50     0.00       21     0.00     0.00  double* std::__addressof<double>(double&)
  0.00      0.50     0.00       21     0.00     0.00  double* std::__relocate_a<double*, double*, std::allocator<double> >(double*, double*, double*, std::allocator<double>&)
  0.00      0.50     0.00       21     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<double, void>::value, double*>::type std::__relocate_a_1<double, double>(double*, double*, double*, std::allocator<double>&)
  0.00      0.50     0.00       21     0.00     0.48  double* std::__uninitialized_default_n<double*, unsigned long>(double*, unsigned long)
  0.00      0.50     0.00       21     0.00     0.48  double* std::__uninitialized_default_n_a<double*, unsigned long, double>(double*, unsigned long, std::allocator<double>&)
  0.00      0.50     0.00       21     0.00     0.48  double* std::fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00      0.50     0.00       21     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.00      0.50     0.00       21     0.00     0.48  void std::__fill_a<double*, double>(double*, double*, double const&)
  0.00      0.50     0.00       18     0.00     0.00  std::uniform_real_distribution<double>::param_type::param_type(double, double)
  0.00      0.50     0.00       18     0.00     0.00  std::uniform_real_distribution<double>::uniform_real_distribution(double, double)
  0.00      0.50     0.00       18     0.00     0.00  std::__is_constant_evaluated()
  0.00      0.50     0.00       16     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      0.50     0.00       12     0.00     0.00  std::_Vector_base<CachePerformanceAnalyzer::Particle, std::allocator<CachePerformanceAnalyzer::Particle> >::_M_get_Tp_allocator() const
  0.00      0.50     0.00       12     0.00     0.00  std::vector<CachePerformanceAnalyzer::Particle, std::allocator<CachePerformanceAnalyzer::Particle> >::max_size() const
  0.00      0.50     0.00       12     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.50     0.00       12     0.00     0.00  std::__new_allocator<std::vector<int, std::allocator<int> > >::~__new_allocator()
  0.00      0.50     0.00       12     0.00     0.00  std::vector<CachePerformanceAnalyzer::Particle, std::allocator<CachePerformanceAnalyzer::Particle> >::_S_max_size(std::allocator<CachePerformanceAnalyzer::Particle> const&)
  0.00      0.50     0.00        9     0.00     0.00  std::_Vector_base<CachePerformanceAnalyzer::Particle, std::allocator<CachePerformanceAnalyzer::Particle> >::_M_get_Tp_allocator()
  0.00      0.50     0.00        9     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_get_Tp_allocator()
  0.00      0.50     0.00        9     0.00     0.00  CachePerformanceAnalyzer::Particle* std::__niter_base<CachePerformanceAnalyzer::Particle*>(CachePerformanceAnalyzer::Particle*)
  0.00      0.50     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > >::base() const
  0.00      0.50     0.00        6     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*)
  0.00      0.50     0.00        6     0.00     0.00  std::_Vector_base<CachePerformanceAnalyzer::Particle, std::allocator<CachePerformanceAnalyzer::Particle> >::_M_deallocate(CachePerformanceAnalyzer::Particle*, unsigned long)
  0.00      0.50     0.00        6     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_Vector_impl::~_Vector_impl()
